PageWorks,PageActivity,PageToday,PageCalendar,PageAnn,Year,Name,Title,Role,WorksType,DateStart,DateEnd,Weekday,DateAdd,DateDelete,URL
Y,Y,Y,Y,Y,2009,大庭葉蔵 & 繁丸 & 先生 & メロス & 良秀,青い文学シリーズ (テレビアニメ),主演,声の出演,2009/10/11,2009/12/27,7,,,https://h2col.notion.site/1c58a08476c78018a042da9db5721fd5
Y,Y,Y,Y,Y,2009,クヒオ大佐,クヒオ大佐,主演,映画,2009/10/10,2009/10/10,,,,https://h2col.notion.site/1b68a08476c7804289beeec4bbbd84b7
Y,Y,Y,Y,Y,2009,サジ,蛮幽鬼,,舞台,2009/9/30,2009/11/26,,,,https://h2col.notion.site/1b98a08476c7806396d0c52807a81450
Y,Y,Y,Y,Y,2009,,文・堺雅人,,BOOK,2009/8/28,2009/8/28,,,,https://h2col.notion.site/1b78a08476c780599aaffcb53e712254
Y,Y,Y,Y,Y,2009,西村淳,南極料理人,主演,映画,2009/8/8,2009/8/8,,,,https://h2col.notion.site/1b68a08476c780d49e2adb96d0a36705
Y,Y,Y,Y,Y,2009,庭野貴久,官僚たちの夏,,TV,2009/7/5,2009/9/20,7,,"2009-08-23, 2009-08-30",https://h2col.notion.site/1b68a08476c780509875d6c6cbf5cbcd
Y,Y,Y,Y,Y,2009,黒澤,ラッシュライフ（黒澤編）,主演,映画,2009/6/13,2009/6/13,,,,https://h2col.notion.site/1b78a08476c780219e1ce763381d9729
Y,Y,Y,Y,Y,2009,速水晃一,ジェネラル・ルージュの凱旋,,映画,2009/3/7,2009/3/7,,,,https://h2col.notion.site/1b68a08476c780fabb68db6becb46b1c
Y,Y,Y,Y,Y,2009,志摩野鷹也,トライアングル,,TV,2009/1/6,2009/3/17,2,,,https://h2col.notion.site/1b68a08476c780a08ecded4fb8ef9eb6
Y,Y,Y,Y,Y,2008,榎本靖,あるがままの君でいて,主演,TV,2008/11/24,2008/11/24,,,,https://h2col.notion.site/1b78a08476c78095bb9bfe0c77dc9b09
Y,Y,Y,Y,Y,2008,瀬野隆之,氷の華,,TV,2008/9/6,2008/9/7,,,,https://h2col.notion.site/1b78a08476c780d6a340fd2cd809628e
Y,Y,Y,Y,Y,2008,功,ジャージの二人,主演,映画,2008/7/19,2008/7/19,,,,https://h2col.notion.site/1b68a08476c780069b35e443366ab51e
Y,Y,Y,Y,Y,2008,佐山達哉,クライマーズ・ハイ,,映画,2008/7/5,2008/7/5,,,,https://h2col.notion.site/1b68a08476c78004b196dc0cfc83bccb
Y,Y,Y,Y,Y,2008,木村一樹,アフタースクール,,映画,2008/5/24,2008/5/24,,,,https://h2col.notion.site/1b68a08476c78015ab14f23054250d11
Y,Y,Y,Y,Y,2008,党首,恋愛新党,主演,TV,2008/4/5,2008/9/27,6,,,https://h2col.notion.site/1b98a08476c7803bbac6e2e88cc75a9d
Y,Y,Y,Y,Y,2008,大石良雄,世にも奇妙な物語 春の特別編「フラッシュバック」,主演,TV,2008/4/2,2008/4/2,,,,https://h2col.notion.site/1b78a08476c7804998e9c05112bd2453
Y,Y,Y,Y,Y,2008,青年,やさぐれぱんだ〈金盤〉&〈銀盤〉,主演,その他,2008/3/19,2008/3/19,,,,https://h2col.notion.site/1b78a08476c780abb742ca4dc84871df
Y,Y,Y,Y,Y,2008,徳川家定,篤姫,,TV,2008/1/6,2008/7/13,7,2008/11/30,"2008-01-13, 2008-01-27, 2008-02-03, 2008-02-10, 2008-02-17, 2008-02-24, 2008-03-23, 2008-04-13",https://h2col.notion.site/1b68a08476c780058a09e283fa09cecc
Y,Y,Y,Y,Y,2007,伊達実,恐れを知らぬ川上音二郎一座,,舞台,2007/11/7,2007/12/30,,,"2007-11-13, 2007-11-14, 2007-11-20, 2007-11-28, 2007-12-04, 2007-12-07, 2007-12-12, 2007-12-18, 2007-12-21, 2007-12-26",https://h2col.notion.site/1b98a08476c780a7b8a1dcbbb6a3e3d2
Y,Y,Y,Y,Y,2007,平重盛,スキヤキ・ウエスタン ジャンゴ,,映画,2007/9/15,2007/9/15,,,,https://h2col.notion.site/1b78a08476c7806bb6e1d374988a6b63
Y,Y,Y,Y,Y,2007,仁科光,壁男,主演,映画,2007/9/15,2007/9/15,,,,https://h2col.notion.site/1b68a08476c78005a49ef74b9e83f23a
