DateStart,DateEnd,Weekday,Add,Date,Title,URL,Year,Role,WorksType
1997/3/7,1997/3/10,,,,『桜月流美剱道「スサビ」』,https://h2col.notion.site/32a304dfac214d7289904bb2566c0ef5,1997,,舞台
1997/2/9,1997/2/9,,,,こちら葛飾区亀有公園前派出所 (テレビアニメ),https://h2col.notion.site/4ec735f797fe4472ae25c9bfdbeea410,1997,,声の出演
1997/1/24,1997/1/26,,,,『アンファン・テリブル・プロデュース「SOUL OF MANDARIN ~ SOULOF COLORS 15」』,https://h2col.notion.site/SOUL-OF-MANDARIN-SOULOF-COLORS-15-0ec47b285e1341b2af37351af2279310,1997,主演,舞台
1996/12/26,1996/12/30,,,,『ネルケビューネ「5人の帰れない男達」』,https://h2col.notion.site/5-7bcc2e6d39b34cd4b263f9102809a282,1996,,舞台
1996/11/28,1996/12/4,,,,『東京オレンジ「SCORPION」』,https://h2col.notion.site/SCORPION-8306f13e8c6d4728b0ba48a604ad5cad,1996,主演,舞台
1996/8/31,1996/8/31,,,,TOKYO23区の女 第22話 葛飾区の女,https://h2col.notion.site/TOKYO23-22-ea24711ca55446e6a359af291999952c,1996,,TV
1996/7/6,1996/7/14,,,,curate246-T「バイブ」,https://h2col.notion.site/curate246-T-1474e826317e4e37bc9595ea536197c6,1996,,舞台
1996/5/17,1996/5/30,,,,『東京オレンジ「EXTRAVAGANZA!」』,https://h2col.notion.site/EXTRAVAGANZA-f0b5dc7ec5f0420c919b53a2cb50dca0,1996,主演,舞台
1995/12/8,1995/12/18,,,,『東京オレンジ「Sbjatas」』,https://h2col.notion.site/Sbjatas-332e56b1b018416d8c9e8d4853f96f7a,1995,,舞台
1995/8/22,1995/8/22,,,,ハートにS 第19話 「休刊日」,https://h2col.notion.site/S-19-f84e8818c0424a65b255f16761e16ebd,1995,,TV
1995/7/28,1995/8/6,,,,『東京オレンジ featured by双数姉妹「コサック TOKИOへ行く」』,https://h2col.notion.site/featured-by-TOK-O-67718950e4d14d988647e5e3766fbd07,1995,,舞台
1995/6/16,1995/6/26,,,,『東京オレンジ「Expo Mania」』,https://h2col.notion.site/Expo-Mania-c90f851ddd294254af2fd59f0d5c479a,1995,主演,舞台
1995/5/3,1995/5/15,,,,『双数姉妹「コサック」』,https://h2col.notion.site/cc100c22fe9e4792ab51e89b06f5ed12,1995,,舞台
1995/1/20,1995/1/29,,,,『ミヤギサトシプレゼンツ「本牧マクベス」』,https://h2col.notion.site/2fcf77cb07e9408f97369056fc34e1e3,1995,,舞台
1994/12/3,1994/12/12,,,,『東京オレンジ「SWAMP DANCE」』,https://h2col.notion.site/SWAMP-DANCE-af60acda0f944964a757675c7c523241,1994,,舞台
1994/5/29,1994/6/5,,,,『東京オレンジ「Ｐ」』,https://h2col.notion.site/88ba895ade2e48408dce0e927495a68e,1994,,舞台
1993/12/18,1993/12/23,,,,『東京オレンジ「楽しい終末」』,https://h2col.notion.site/64c9801b4ad44164b976c7b69537f2bc,1993,,舞台
1993/5/24,1993/5/28,,,,『東京オレンジ「ウミガドウミエル」』,https://h2col.notion.site/243c5c253eae46d4b33b0c4ae14ad2d4,1993,,舞台
1997/5/8,1997/5/8,,,,こちら葛飾区亀有公園前派出所 第38話,https://h2col.notion.site/1b78a08476c780dfbc8beec6f952438f,1997,,声の出演
1998/2/22,1998/2/22,,,,こちら葛飾区亀有公園前派出所 第72話,https://h2col.notion.site/1b78a08476c780dfbc8beec6f952438f,1998,,声の出演
1999/10/17,1999/10/17,,,,こちら葛飾区亀有公園前派出所 第142話,https://h2col.notion.site/1b78a08476c780dfbc8beec6f952438f,1999,,声の出演
2000/9/3,2000/9/3,,,,こちら葛飾区亀有公園前派出所 第175話,https://h2col.notion.site/1b78a08476c780dfbc8beec6f952438f,2000,,声の出演
2001/1/21,2001/1/21,,,,こちら葛飾区亀有公園前派出所 第193話,https://h2col.notion.site/1b78a08476c780dfbc8beec6f952438f,2001,,声の出演
2001/8/12,2001/8/12,,,,こちら葛飾区亀有公園前派出所 第211話,https://h2col.notion.site/1b78a08476c780dfbc8beec6f952438f,2001,,声の出演
2003/2/25,2003/2/25,,,,戦闘妖精雪風 OPERATION 2,https://h2col.notion.site/1b78a08476c780fea6e3c73a603724cc,2003,主演,声の出演
2003/8/22,2003/8/22,,,,戦闘妖精雪風 OPERATION 3,https://h2col.notion.site/1b78a08476c780fea6e3c73a603724cc,2003,主演,声の出演
2004/4/23,2004/4/23,,,,戦闘妖精雪風 OPERATION 4,https://h2col.notion.site/1b78a08476c780fea6e3c73a603724cc,2004,主演,声の出演
2005/8/26,2005/8/26,,,,戦闘妖精雪風 OPERATION 5,https://h2col.notion.site/1b78a08476c780fea6e3c73a603724cc,2005,主演,声の出演
